3030.3,2.361,1.362
3039.5,2.367,1.362
3048.8,2.374,1.361
3058.1,2.381,1.359
3067.5,2.386,1.358
3076.9,2.393,1.357
3086.4,2.4,1.356
3096,2.407,1.353
3105.6,2.413,1.35
3115.3,2.418,1.348
3125,2.424,1.346
3134.8,2.429,1.345
3144.7,2.436,1.342
3154.6,2.438,1.338
3164.6,2.446,1.341
3174.6,2.452,1.335
3184.7,2.456,1.334
3194.9,2.461,1.331
3205.1,2.464,1.328
3215.4,2.467,1.326
3225.8,2.466,1.322
3236.2,2.47,1.317
3246.8,2.409,1.309
3257.3,2.494,1.46
3268,2.543,1.358
3278.7,2.543,1.339
3289.5,2.54,1.331
3300.3,2.548,1.326
3311.3,2.552,1.317
3322.3,2.555,1.313
3333.3,2.559,1.312
3344.5,2.568,1.304
3355.7,2.569,1.299
3367,2.574,1.3
3378.4,2.581,1.293
3389.8,2.587,1.289
3401.4,2.591,1.283
3413,2.594,1.279
3424.7,2.597,1.277
3436.4,2.605,1.27
3448.3,2.603,1.268
3460.2,2.61,1.263
3472.2,2.612,1.261
3484.3,2.613,1.254
3496.5,2.616,1.255
3508.8,2.621,1.253
3521.1,2.623,1.251
3533.6,2.627,1.252
3546.1,2.631,1.248
3558.7,2.638,1.25
3571.4,2.644,1.249
3584.2,2.648,1.247
3597.1,2.657,1.244
3610.1,2.659,1.238
3623.2,2.661,1.237
3636.4,2.67,1.235
3649.6,2.677,1.236
3663,2.68,1.227
3676.5,2.681,1.228
3690,2.69,1.227
3703.7,2.698,1.222
3717.5,2.703,1.215
3731.3,2.704,1.217
3745.3,2.712,1.218
3759.4,2.719,1.21
3773.6,2.723,1.203
3787.9,2.729,1.206
3802.3,2.737,1.197
3816.8,2.738,1.194
3831.4,2.743,1.188
3846.2,2.75,1.188
3861,2.756,1.186
3876,2.758,1.178
3891.1,2.769,1.178
3906.3,2.768,1.169
3921.6,2.775,1.168
3937,2.781,1.158
3952.6,2.783,1.154
3968.3,2.786,1.153
3984.1,2.796,1.148
4000,2.793,1.144
4016.1,2.804,1.14
4032.3,2.806,1.131
4048.6,2.811,1.125
4065,2.815,1.123
4081.6,2.814,1.117
4098.4,2.824,1.111
4115.2,2.828,1.107
4132.2,2.828,1.099
4149.4,2.836,1.098
4166.7,2.838,1.086
4184.1,2.84,1.081
4201.7,2.84,1.071
4219.4,2.842,1.063
4237.3,2.837,1.057
4255.3,2.838,1.055
4273.5,2.838,1.051
4291.8,2.838,1.046
4310.3,2.829,1.041
4329,2.833,1.047
4347.8,2.834,1.046
4366.8,2.839,1.044
4386,2.843,1.04
4405.3,2.847,1.033
4424.8,2.843,1.023
4444.4,2.84,1.019
4464.3,2.837,1.014
4484.3,2.829,1.006
4504.5,2.801,0.997
4524.9,2.696,1.065
4545.5,2.924,1.15
4566.2,2.87,1.047
4587.2,2.895,1.066
4608.3,2.875,1.048
4629.6,2.913,1.046
4651.2,2.905,1.024
4672.9,2.902,1.015
4694.8,2.902,1.011
4717,2.902,1.009
4739.3,2.902,1.007
4761.9,2.902,1.006
4784.7,2.91,1.006
4807.7,2.912,1.008
4830.9,2.926,1.013
4854.4,2.942,1.003
4878,2.951,0.986
4902,2.957,0.974
4926.1,2.948,0.962
4950.5,2.956,0.954
4975.1,2.949,0.947
5000,2.95,0.939
5025.1,2.951,0.935
5050.5,2.952,0.928
5076.1,2.948,0.922
5102,2.949,0.917
5128.2,2.945,0.914
5154.6,2.947,0.909
5181.3,2.94,0.907
5208.3,2.953,0.906
5235.6,2.95,0.896
5263.2,2.947,0.891
5291,2.948,0.89
5319.1,2.947,0.885
5347.6,2.946,0.881
5376.3,2.949,0.881
5405.4,2.947,0.875
5434.8,2.949,0.873
5464.5,2.951,0.867
5494.5,2.95,0.861
5524.9,2.95,0.857
5555.6,2.949,0.853
5586.6,2.946,0.849
5618,2.948,0.847
5649.7,2.947,0.84
5681.8,2.946,0.834
5714.3,2.943,0.829
5747.1,2.939,0.821
5780.3,2.931,0.822
5814,2.931,0.818
5848,2.919,0.817
5882.4,2.92,0.819
5917.2,2.915,0.822
5952.4,2.915,0.82
5988,2.916,0.819
6024.1,2.91,0.819
6060.6,2.91,0.813
6097.6,2.904,0.815
6135,2.898,0.815
6172.8,2.903,0.82
6211.2,2.894,0.808
6250,2.88,0.819
6289.3,2.879,0.826
6329.1,2.878,0.838
6369.4,2.891,0.843
6410.3,2.896,0.832
6451.6,2.883,0.824
6493.5,2.871,0.823
6535.9,2.85,0.832
6578.9,2.838,0.873
6622.5,2.851,0.891
6666.7,2.903,0.893
6711.4,2.889,0.874
6756.8,2.88,0.883
6802.7,2.886,0.893
6849.3,2.891,0.903
6896.6,2.906,0.908
6944.4,2.912,0.902
6993,2.916,0.894
7042.3,2.91,0.894
7092.2,2.903,0.899
7142.9,2.905,0.908
7194.2,2.9,0.908
7246.4,2.897,0.937
7299.3,2.912,0.932
7352.9,2.91,0.941
7407.4,2.899,0.946
7462.7,2.917,1.051
7518.8,2.977,0.974
7575.8,2.966,0.976
7633.6,2.973,0.982
7692.3,2.974,0.993
7751.9,2.99,1.001
7812.5,3.002,1.002
7874,3.011,1.008
7936.5,2.991,1.005
